payment_id,timestamp,currency,amount,amount_cad,channel,customer_segment,customer_risk_tier,sender_country,receiver_country,cross_border,sender_bic,receiver_bic,sender_id,receiver_id,payment_purpose,sanctions_flag,rule_high_value,rule_cb_high,rule_high_risk_country,date,rule_velocity,date_dt,near_threshold,rule_structuring,flagged
5138,2024-03-16 08:24:00,CAD,12292.98,12292.98,SWIFT,Corporate,Low,BR,AE,1,CZPYIEZVQFP,OTPASE060GE,10021,20893,Tax Payment,0,0,0,0,2024-03-16,0,2024-03-16,0,0,0
1071,2024-04-26 21:53:00,CAD,3599.59,3599.59,ACH,Retail,Low,MX,IN,1,TUZDRUCVGEA,JXLNINF5HDJ,10022,38222,Internal Transfer,0,0,0,0,2024-04-26,0,2024-04-26,0,0,0
9771,2025-04-04 12:20:00,USD,187098.53,252583.02,SWIFT,Corporate,Low,SG,IN,1,FOBRSGQ688B,PYHKCHPYGMI,10022,21096,Tax Payment,0,1,1,0,2025-04-04,0,2025-04-04,0,0,1
6181,2025-05-10 07:07:00,EUR,118466.53,174145.8,SWIFT,SMB,Low,BR,BR,0,THOIMXGI8KF,JNDHZA2QSLW,10022,27770,Internal Transfer,0,1,0,0,2025-05-10,0,2025-05-10,0,0,1
1849,2024-04-09 02:15:00,INR,10489793.9,167836.7,ACH,Retail,Low,JP,CN,1,KUTJSEURZGO,FTVXIE3XJ53,10023,39222,Remittance,0,1,1,0,2024-04-09,0,2024-04-09,0,0,1
4272,2025-05-28 00:56:00,AUD,92107.11,82896.4,SWIFT,SMB,Low,NZ,CH,1,UNRAMXONOV1,NXGMAU7WT3B,10023,21366,Tax Payment,0,0,1,0,2025-05-28,0,2025-05-28,0,0,1
2737,2024-02-17 14:47:00,AUD,156352.63,140717.37,SWIFT,Retail,Low,PL,NZ,1,QVUUIE9AUH7,RRSAAEQV2H0,10024,33980,Vendor Settlement,0,1,1,0,2024-02-17,0,2024-02-17,0,0,1
7122,2024-04-05 01:41:00,GBP,104993.88,180589.47,SWIFT,Retail,Low,SE,SE,0,FUWINZNT8XZ,PFMVZAYVRQT,10024,23486,FX Transfer,0,1,0,0,2024-04-05,0,2024-04-05,0,0,1
3289,2024-09-01 07:31:00,CNY,420815.56,79954.96,SWIFT,Retail,Low,JP,NL,1,OZMUNOCSHQT,KSFWMXF9TR6,10024,23331,Remittance,0,0,1,0,2024-09-01,0,2024-09-01,0,0,1
7696,2025-06-05 00:40:00,CAD,10013.3,10013.3,SWIFT,Retail,Medium,PL,ES,1,YYMUITC5PG8,MPJKZA3W0XG,10025,24825,Payroll,0,0,0,0,2025-06-05,0,2025-06-05,0,0,0
7327,2024-09-06 16:14:00,USD,10502.91,14178.93,SWIFT,Retail,Medium,ES,SA,1,GOVEGBPKENN,PBVYCH0KPKP,10026,24553,Invoice Payment,0,0,0,0,2024-09-06,0,2024-09-06,0,0,0
5289,2024-06-11 07:51:00,JPY,5019293.34,55212.23,ACH,Corporate,Low,DK,DE,1,LUVIPL3XHJC,FURXCN12ML3,10027,23927,Vendor Settlement,0,0,0,0,2024-06-11,0,2024-06-11,0,0,0
6562,2024-03-19 09:36:00,USD,158551.42,214044.42,SWIFT,SMB,Low,DK,CH,1,CIGVESE15HT,ZKNAZA0RGAG,10028,33253,Vendor Settlement,0,1,1,0,2024-03-19,0,2024-03-19,0,0,1
9048,2025-06-05 18:35:00,AUD,71683.13,64514.82,SEPA,Corporate,Low,ZA,PL,1,BXVZFRARRD1,ACDMPLMU6JB,10028,37358,Loan Repayment,0,0,0,0,2025-06-05,0,2025-06-05,0,0,0
278,2024-10-19 23:11:00,CAD,122083.64,122083.64,SWIFT,Retail,Medium,CH,JP,1,TXRUZAFDM5F,BTCRGBEQB7W,10031,28213,Payroll,0,1,1,0,2024-10-19,0,2024-10-19,0,0,1
4554,2025-05-06 08:22:00,GBP,142076.03,244370.77,ACH,Retail,Low,IE,MX,1,QDIPHKVU6LZ,QQQBCNDPA58,10031,23426,Loan Repayment,0,1,1,0,2025-05-06,0,2025-05-06,0,0,1
7089,2024-03-11 09:15:00,JPY,13195919.4,145155.11,WIRE,SMB,High,CN,CA,1,WKGLRU9S05M,KDVOUAI4YI9,10032,34079,Loan Repayment,0,1,1,0,2024-03-11,0,2024-03-11,0,0,1
9653,2025-09-12 12:29:00,JPY,1942698.2,21369.68,SWIFT,Retail,High,NO,ZA,1,UPVNCANOHY7,XPNAJPVFWE4,10033,32984,Remittance,0,0,0,0,2025-09-12,0,2025-09-12,0,0,0
4603,2024-05-24 01:19:00,AUD,133026.66,119723.99,SWIFT,Retail,Low,IN,SA,1,TFYNARXN84H,XGXKSG9V97U,10034,25216,Internal Transfer,0,1,1,0,2024-05-24,0,2024-05-24,0,0,1
7869,2024-11-10 20:46:00,GBP,21381.16,36775.6,SEPA,Retail,Low,MX,FR,1,ZXHWJPA68OT,XHGBCARFMND,10038,31732,FX Transfer,0,0,0,0,2024-11-10,0,2024-11-10,0,0,0
1726,2025-07-08 18:16:00,AUD,123791.22,111412.1,ACH,Retail,Low,DE,IT,1,EXHLUSQ2XZE,GYRPCN6GV02,10041,32297,Tax Payment,0,1,1,0,2025-07-08,0,2025-07-08,0,0,1
4562,2025-07-14 00:13:00,AUD,4786.8,4308.12,SEPA,Retail,Low,NL,IE,1,XKWYSA0R49K,CRIHESFY9Y8,10042,30182,Internal Transfer,0,0,0,0,2025-07-14,0,2025-07-14,0,0,0
7726,2024-04-16 12:43:00,CAD,97278.34,97278.34,SWIFT,Retail,Low,IT,AR,1,LGUMSGOCTKH,NAXJTROW317,10043,22969,Remittance,0,0,1,0,2024-04-16,0,2024-04-16,1,0,1
206,2025-04-20 18:48:00,CAD,34913.54,34913.54,SWIFT,Corporate,High,JP,NO,1,VGJJCNOK7AY,TUOXPL72901,10043,21053,Remittance,0,0,0,0,2025-04-20,0,2025-04-20,0,0,0
5664,2024-04-19 22:47:00,USD,96776.45,130648.21,WIRE,Retail,Medium,IE,TR,1,YEKPNZ6IPXH,DBFMITR9UNC,10044,28730,Remittance,0,1,1,0,2024-04-19,0,2024-04-19,0,0,1
9725,2024-09-11 15:17:00,EUR,172076.44,252952.37,ACH,Retail,Low,UA,AR,1,DDXLITODJ4F,TISMHK7EA1E,10044,28791,Invoice Payment,0,1,1,0,2024-09-11,0,2024-09-11,0,0,1
4236,2024-01-21 02:14:00,CAD,90470.77,90470.77,SWIFT,Retail,Low,PL,NO,1,FAKOAUMQOPC,SYFDINRLD3O,10045,24301,Internal Transfer,0,0,1,0,2024-01-21,0,2024-01-21,0,0,1
2573,2024-03-16 01:31:00,INR,14605524.0,233688.38,ACH,Retail,High,DK,AE,1,FCATARG4MS2,JPTFNLSZV4D,10046,35697,Vendor Settlement,0,1,1,0,2024-03-16,0,2024-03-16,0,0,1
9116,2024-05-26 09:14:00,GBP,56476.72,97139.96,SWIFT,Retail,Low,CH,TR,1,UZDUDE6183J,PVNEMXX9MV4,10046,31779,Invoice Payment,0,0,1,0,2024-05-26,0,2024-05-26,1,0,1
2950,2024-09-11 12:42:00,CAD,130243.25,130243.25,RTP,SMB,Low,UA,AU,1,SUWKIEI7KM2,KWHICHG1LEC,10048,38736,Payroll,0,1,1,0,2024-09-11,0,2024-09-11,0,0,1
2457,2025-01-13 03:02:00,AUD,52105.1,46894.59,SWIFT,Retail,Medium,SE,DE,1,JVBUJPXTVAD,WICBINJ1LIA,10049,25978,FX Transfer,0,0,0,0,2025-01-13,0,2025-01-13,0,0,0
8176,2025-09-19 21:51:00,CNY,1099686.74,208940.48,ACH,Retail,Low,IN,SA,1,XJSGBR7WXN5,XRQHZA5RM9V,10050,34850,Remittance,0,1,1,0,2025-09-19,0,2025-09-19,0,0,1
1670,2024-02-17 19:24:00,INR,4137118.87,66193.9,ACH,Retail,Low,HK,UA,1,XZBADKGFNRK,AIROITC9SBU,10054,31520,Payroll,0,0,0,1,2024-02-17,0,2024-02-17,0,0,1
4384,2024-05-09 03:21:00,CNY,638857.36,121382.9,SWIFT,SMB,Medium,ZA,DE,1,HTWSAENBPOD,GVEMJPGOWOY,10054,39153,Remittance,0,1,1,0,2024-05-09,0,2024-05-09,0,0,1
7515,2025-06-08 23:18:00,INR,12290974.0,196655.58,SWIFT,Retail,Low,TR,GB,1,DBYNARVQMYB,LQJBSARYAFU,10056,24286,Invoice Payment,0,1,1,0,2025-06-08,0,2025-06-08,0,0,1
1984,2024-01-19 07:00:00,CAD,7672.41,7672.41,SWIFT,SMB,Medium,ZA,IN,1,KXZQJPKBGST,OXZRNZEVX0G,10057,36117,Vendor Settlement,0,0,0,0,2024-01-19,0,2024-01-19,0,0,0
498,2025-01-13 18:42:00,CAD,145514.52,145514.52,SWIFT,Retail,Low,IN,UA,1,OQTQSE803FJ,SPWUJP7ATTS,10057,27952,Internal Transfer,0,1,1,1,2025-01-13,0,2025-01-13,0,0,1
7017,2025-08-12 03:40:00,CNY,756609.35,143755.78,WIRE,Retail,Low,ZA,SA,1,SJQJARA4S6G,KYFKZAIF1R9,10057,30649,FX Transfer,0,1,1,0,2025-08-12,0,2025-08-12,0,0,1
4874,2025-04-19 17:55:00,EUR,122464.62,180022.99,ACH,Retail,Low,DK,JP,1,ECEJSAF2152,UTKDITQATPF,10059,24102,FX Transfer,0,1,1,0,2025-04-19,0,2025-04-19,0,0,1
9902,2024-02-02 06:33:00,INR,3704654.55,59274.47,SWIFT,Retail,Medium,IT,JP,1,CMDZAEKTTTA,WOPVGBAT1VC,10061,25585,Tax Payment,0,0,0,0,2024-02-02,0,2024-02-02,0,0,0
5655,2024-12-05 04:45:00,EUR,171607.2,252262.58,WIRE,Retail,Low,SE,SG,1,KYJDESFD9Z3,SKTEHK786WO,10061,33550,FX Transfer,0,1,1,0,2024-12-05,0,2024-12-05,0,0,1
783,2025-05-02 12:11:00,CAD,92442.17,92442.17,ACH,Retail,Low,MX,SA,1,IRQSDK9N0FS,DUNBNZR47VP,10061,32508,Remittance,0,0,1,0,2025-05-02,0,2025-05-02,0,0,1
1269,2024-12-18 14:42:00,JPY,3032748.16,33360.23,SWIFT,Retail,Low,NL,NL,0,FKPPNO01RT0,FTAZARR0FSV,10062,25252,Payroll,0,0,0,0,2024-12-18,0,2024-12-18,0,0,0
219,2025-02-07 01:49:00,GBP,87013.28,149662.84,SWIFT,Retail,Low,US,IE,1,WKCWESGEKDF,BISEINFGVY8,10064,30069,FX Transfer,0,1,1,0,2025-02-07,0,2025-02-07,0,0,1
3222,2024-12-01 11:33:00,USD,3297.06,4451.03,WIRE,Retail,Low,DE,NL,1,GSKSTR8BSGB,JSTPAE38WXT,10066,30313,Remittance,0,0,0,0,2024-12-01,0,2024-12-01,0,0,0
9019,2025-08-19 03:54:00,USD,178582.87,241086.87,SEPA,Retail,Low,MX,NO,1,VVVDCAJJY08,EAWOPLS6543,10067,20618,Tax Payment,0,1,1,0,2025-08-19,0,2025-08-19,0,0,1
550,2024-02-28 17:41:00,INR,12740019.2,203840.31,SWIFT,Retail,Medium,RU,CN,1,RLLJCH8H5EN,JSNRAUNSW7X,10068,34755,Vendor Settlement,0,1,1,0,2024-02-28,0,2024-02-28,0,0,1
6450,2025-08-20 17:33:00,CAD,45626.8,45626.8,SWIFT,Corporate,Medium,US,JP,1,BXRIRUT44A6,PAGCNZJKQ6Q,10069,20895,Invoice Payment,0,0,0,0,2025-08-20,0,2025-08-20,0,0,0
385,2024-03-10 23:13:00,USD,156478.98,211246.62,WIRE,Retail,Low,CH,FR,1,EDJUDE4AK50,AODTSENY2ZE,10071,22355,Payroll,0,1,1,0,2024-03-10,0,2024-03-10,0,0,1
272,2024-07-03 15:13:00,INR,11597145.65,185554.33,ACH,Retail,Low,MX,JP,1,YQKYAETNROD,TUPDBRQ14KV,10071,26839,Invoice Payment,0,1,1,0,2024-07-03,0,2024-07-03,0,0,1
8384,2025-04-27 16:16:00,CAD,4570.24,4570.24,WIRE,Retail,Low,PL,JP,1,XKJJRUUQIB2,LKUYIEPXQZV,10071,20827,Vendor Settlement,0,0,0,0,2025-04-27,0,2025-04-27,0,0,0
2924,2025-05-11 17:06:00,USD,8132.96,10979.5,SWIFT,Corporate,Low,DE,CA,1,NEUGAE6L7GZ,MCIGPL4U94U,10071,22429,Vendor Settlement,0,0,0,0,2025-05-11,0,2025-05-11,0,0,0
761,2025-01-21 18:10:00,CNY,79989.41,15197.99,SWIFT,SMB,Low,CH,CH,0,UOPSSAV3AOH,NSIDAR7CKF5,10072,36131,Invoice Payment,0,0,0,0,2025-01-21,0,2025-01-21,0,0,0
989,2024-04-24 05:42:00,CAD,132365.86,132365.86,SWIFT,SMB,Low,ZA,GB,1,EYWOUSUEDBS,BPQRZA7L1CY,10076,34413,Payroll,0,1,1,0,2024-04-24,0,2024-04-24,0,0,1
527,2024-12-14 16:09:00,EUR,101242.25,148826.11,ACH,Retail,Low,IT,BR,1,GDYOSE8KL79,TJVBCAK1M76,10077,38806,Internal Transfer,0,1,1,0,2024-12-14,0,2024-12-14,0,0,1
7248,2025-05-06 20:19:00,CAD,6265.51,6265.51,ACH,Retail,Low,CA,HK,1,YBYBIN2X9YW,NRGDRUPR42I,10077,38944,Internal Transfer,0,0,0,0,2025-05-06,0,2025-05-06,0,0,0
4215,2025-05-09 10:18:00,AUD,35891.18,32302.06,ACH,Retail,Medium,NO,AR,1,TOUKFR0UK9D,RAWKBRAQV90,10077,34730,Remittance,0,0,0,0,2025-05-09,0,2025-05-09,0,0,0
5966,2025-07-08 10:18:00,CNY,17999.51,3419.91,SWIFT,Retail,Low,SA,SA,0,XDNBDKWM3NV,QGVYAU4KIQJ,10077,38635,Payroll,0,0,0,0,2025-07-08,0,2025-07-08,0,0,0
5384,2024-03-04 14:31:00,AUD,28041.58,25237.42,ACH,Retail,Low,HK,ZA,1,CPOTPLX8EZ2,YRKWES2G422,10080,30701,Invoice Payment,0,0,0,0,2024-03-04,0,2024-03-04,0,0,0
8219,2025-04-03 05:51:00,GBP,135151.79,232461.08,SWIFT,Retail,Medium,NZ,CA,1,XIIFES2Q58I,EEBTBRQYEP6,10080,27418,Payroll,0,1,1,0,2025-04-03,0,2025-04-03,0,0,1
9186,2024-08-28 19:28:00,JPY,11765769.85,129423.47,ACH,Retail,Medium,TR,US,1,LDDSCNL6QBR,UZPJDE2PPJ0,10081,24646,Vendor Settlement,0,1,1,0,2024-08-28,0,2024-08-28,0,0,1
7438,2024-04-18 04:11:00,INR,4344807.55,69516.92,SWIFT,Corporate,Low,DK,NO,1,PAZMUAG0FKR,JKKGMXXO7MO,10084,35870,Vendor Settlement,0,0,0,0,2024-04-18,0,2024-04-18,0,0,0
4661,2024-03-20 06:13:00,GBP,20609.82,35448.89,WIRE,Retail,Low,HK,IT,1,UMVHUAS69H6,IPEXTRHR3NS,10086,21120,Invoice Payment,0,0,0,0,2024-03-20,0,2024-03-20,0,0,0
1475,2024-05-27 14:25:00,INR,14129960.28,226079.36,SWIFT,Retail,Medium,SA,RU,1,EPSUCN5PSN1,LFAQGBNWQKO,10087,39699,Loan Repayment,0,1,1,1,2024-05-27,0,2024-05-27,0,0,1
1569,2025-08-10 04:51:00,INR,3510360.23,56165.76,SWIFT,Retail,Low,ES,AE,1,KWPZAUO4Q0X,SEHYSAWYF86,10087,29086,Loan Repayment,0,0,0,0,2025-08-10,0,2025-08-10,0,0,0
84,2024-04-16 13:24:00,JPY,7794318.34,85737.5,SWIFT,Retail,Medium,JP,IT,1,GCLMFR9C6YH,MHGFCNPJIIO,10088,23662,Vendor Settlement,0,0,1,0,2024-04-16,0,2024-04-16,0,0,1
9638,2024-12-16 12:20:00,AUD,144435.68,129992.11,WIRE,Retail,Low,DK,DK,0,WZMDJPHKIU4,XIXISAIK4SY,10088,25415,Payroll,0,1,0,0,2024-12-16,0,2024-12-16,0,0,1
3924,2025-07-09 08:36:00,EUR,59763.77,87852.74,SWIFT,SMB,Medium,AE,AE,0,ZNAXARG474F,ZZODNLH0PDN,10088,26034,Payroll,0,0,0,0,2025-07-09,0,2025-07-09,0,0,0
7936,2024-09-02 06:50:00,JPY,18632607.96,204958.69,SWIFT,Corporate,Medium,HK,UA,1,ANMYBRCYAMK,PDNKAEYR5JZ,10089,33422,Tax Payment,0,1,1,1,2024-09-02,0,2024-09-02,0,0,1
8093,2024-12-13 18:05:00,AUD,142665.24,128398.72,SWIFT,Retail,High,SA,NL,1,HPJTMXJUCXH,VBDFSA6K2BE,10089,25853,Invoice Payment,0,1,1,0,2024-12-13,0,2024-12-13,0,0,1
8111,2025-03-16 00:03:00,GBP,132024.13,227081.5,ACH,Retail,Low,JP,CH,1,UWYFIT3TQJ6,WGAOCA26LVV,10090,25471,Loan Repayment,0,1,1,0,2025-03-16,0,2025-03-16,0,0,1
9962,2025-08-25 06:18:00,USD,17931.32,24207.28,SEPA,Corporate,Low,TR,IT,1,RUWOARCEU4M,ARCQDKG11W0,10090,27571,Vendor Settlement,0,0,0,0,2025-08-25,0,2025-08-25,0,0,0
3874,2024-12-10 07:22:00,CNY,578693.86,109951.83,SEPA,Retail,Low,JP,GB,1,FNDYAR83WKY,RVUOSA7CSZE,10092,26227,FX Transfer,0,1,1,0,2024-12-10,0,2024-12-10,0,0,1
493,2024-04-19 00:37:00,INR,10372246.96,165955.95,ACH,Retail,Medium,NL,AU,1,JGNYDEVKG01,DBWPMXR98N6,10093,29639,Remittance,0,1,1,0,2024-04-19,0,2024-04-19,0,0,1
5851,2024-08-22 14:39:00,JPY,17963281.96,197596.1,WIRE,Retail,Medium,PL,IT,1,RXTZDEBNY9K,GDZUUSPY528,10095,26909,Vendor Settlement,0,1,1,0,2024-08-22,0,2024-08-22,0,0,1
3369,2025-02-01 07:49:00,GBP,36242.57,62337.22,ACH,Retail,Medium,CN,DE,1,RVMVUAU66Z3,ATKHUSY48PF,10095,25840,Internal Transfer,0,0,0,0,2025-02-01,0,2025-02-01,0,0,0
1928,2024-07-22 03:26:00,GBP,2133.65,3669.88,SWIFT,Retail,Low,SE,US,1,OWAYNOXM8QU,VXGBMXTL3OO,10096,36541,Invoice Payment,0,0,0,0,2024-07-22,0,2024-07-22,0,0,0
5221,2025-08-01 06:56:00,USD,69703.37,94099.55,SEPA,SMB,Medium,SA,SE,1,NAUMUSKHZQP,GODERUSS2JU,10096,28531,Payroll,0,0,1,0,2025-08-01,0,2025-08-01,0,0,1
1500,2024-08-22 23:08:00,EUR,97689.66,143603.8,ACH,Retail,Low,UA,HK,1,CUWWNLSPKXG,LGYLNOZUQ7B,10098,30731,Vendor Settlement,0,1,1,0,2024-08-22,0,2024-08-22,0,0,1
9100,2024-08-07 18:16:00,USD,102864.19,138866.66,ACH,Retail,Low,SE,IN,1,ZESFZAIA0MC,EWSIGBEB5PI,10101,37590,Payroll,0,1,1,0,2024-08-07,0,2024-08-07,0,0,1
4382,2025-02-18 15:43:00,CAD,92143.77,92143.77,SWIFT,SMB,Low,BR,DK,1,XWZETRC42CN,JDKOAREGNGV,10101,38896,Invoice Payment,0,0,1,0,2025-02-18,0,2025-02-18,0,0,1
3495,2025-01-04 03:51:00,CAD,146174.57,146174.57,SWIFT,Retail,Low,UA,RU,1,THNNPL3YL94,LLKCIEBT7RR,10102,20357,Vendor Settlement,0,1,1,1,2025-01-04,0,2025-01-04,0,0,1
7675,2024-05-22 06:29:00,CNY,767391.75,145804.43,ACH,Retail,Low,UA,JP,1,OMINJPWJH02,GIPINZIAHKS,10103,24164,Remittance,0,1,1,0,2024-05-22,0,2024-05-22,0,0,1
7429,2025-05-09 04:54:00,CNY,1060688.03,201530.73,SWIFT,SMB,Low,SA,MX,1,KWATCNZQKIP,FUYBRU6HWHE,10103,28872,Tax Payment,0,1,1,0,2025-05-09,0,2025-05-09,0,0,1
7482,2024-02-22 17:54:00,EUR,133985.29,196958.38,ACH,SMB,Low,AE,AE,0,GDZNITBEX35,QRMPUSFU4EM,10104,30403,Vendor Settlement,0,1,0,0,2024-02-22,0,2024-02-22,0,0,1
2488,2025-06-02 12:19:00,INR,2268424.34,36294.79,SWIFT,Corporate,Medium,MX,CN,1,JEBUMXD5PYF,XEGRPLKF827,10104,23008,FX Transfer,0,0,0,0,2025-06-02,0,2025-06-02,0,0,0
4173,2025-07-17 22:39:00,USD,107305.13,144861.93,SWIFT,SMB,Medium,AU,IE,1,BYXTSARX5MO,FNXCAR9S64P,10105,28504,Payroll,0,1,1,0,2025-07-17,0,2025-07-17,0,0,1
2405,2025-07-18 11:42:00,GBP,156129.35,268542.48,SEPA,SMB,Medium,JP,MX,1,LJSLCAQD5UX,XKFHAUBKCBA,10106,30766,Payroll,0,1,1,0,2025-07-18,0,2025-07-18,0,0,1
2065,2025-08-11 23:49:00,INR,3125365.05,50005.84,ACH,Retail,Medium,IN,IE,1,ZRWMNL5JZ6Y,ITZHITK4T8S,10110,32358,Invoice Payment,0,0,0,0,2025-08-11,0,2025-08-11,0,0,0
4811,2024-09-15 05:06:00,JPY,405751.67,4463.27,SWIFT,Retail,Low,JP,IT,1,TFSLCN5ZKES,ZPNDUSBWUZR,10111,37166,Tax Payment,0,0,0,0,2024-09-15,0,2024-09-15,0,0,0
3886,2025-07-06 02:05:00,AUD,98337.48,88503.73,RTP,Retail,Low,IN,FR,1,MRCOIEDZAFA,FKRERUXPX7B,10112,37463,Loan Repayment,0,0,1,0,2025-07-06,0,2025-07-06,0,0,1
6219,2024-08-29 12:50:00,GBP,105260.87,181048.7,SEPA,Retail,Low,AE,NZ,1,FQIZBRWGJY0,NLXLMXWNU6O,10114,36474,Invoice Payment,0,1,1,0,2024-08-29,0,2024-08-29,0,0,1
3393,2025-09-01 23:56:00,CAD,95685.91,95685.91,RTP,Retail,Medium,TR,NZ,1,AHUDCACBE3M,KQXIAR0E4OZ,10114,22887,Vendor Settlement,0,0,1,0,2025-09-01,0,2025-09-01,1,0,1
5244,2025-08-10 05:16:00,CAD,108291.04,108291.04,SWIFT,SMB,Low,SE,BR,1,LBQESA60ZVQ,RERFSGT198N,10115,29416,Internal Transfer,0,1,1,0,2025-08-10,0,2025-08-10,0,0,1
8580,2025-06-16 07:17:00,GBP,68933.52,118565.65,SWIFT,SMB,Low,NL,CH,1,FAQTDEX4DD7,KYGCIENBLBF,10118,35609,Vendor Settlement,0,1,1,0,2025-06-16,0,2025-06-16,0,0,1
479,2024-04-21 15:33:00,USD,62181.78,83945.4,SWIFT,Corporate,Low,ES,CH,1,ZSMPMX5E0SD,HNKUESX70NK,10120,31687,Internal Transfer,0,0,1,0,2024-04-21,0,2024-04-21,0,0,1
7592,2024-11-13 10:14:00,GBP,81988.74,141020.63,ACH,Retail,Medium,SG,HK,1,HEQFARB6Y6S,ERICESGE2LD,10120,28486,Internal Transfer,0,1,1,0,2024-11-13,0,2024-11-13,0,0,1
